ot,lat,lon,dep,mag
2012-08-26T15:48:00.136865Z,33.4666,-116.2132,23,-1.59
2012-08-26T16:17:50.343333Z,33.4666,-116.0332,22,-2.74
2012-08-26T16:18:02.267602Z,32.7266,-115.1932,23,-4.00
2012-08-26T17:40:34.265555Z,33.4066,-115.0732,22,-3.63
2012-08-26T17:45:30.934666Z,32.7866,-115.5132,1,-4.61
2012-08-26T17:56:53.268118Z,32.7466,-115.9332,11,-3.93
2012-08-26T18:06:58.672523Z,32.8466,-115.5932,9,-3.84
2012-08-26T18:11:28.350363Z,32.6466,-115.6332,1,-2.79
2012-08-26T18:39:57.801548Z,32.8866,-115.5132,18,-4.19
2012-08-26T18:44:32.069008Z,32.8866,-115.4932,11,-4.02
2012-08-26T19:31:26.153538Z,32.9066,-115.7332,1,-1.13
2012-08-26T19:35:51.348379Z,32.9266,-115.6332,1,-2.97
2012-08-26T19:56:50.940046Z,32.9666,-115.6132,1,-4.09
2012-08-26T19:57:31.773770Z,32.9266,-115.5732,24,-2.95
2012-08-26T20:03:58.308373Z,32.7866,-115.4132,1,-3.01
2012-08-26T20:05:22.054388Z,32.9066,-115.4332,1,-3.77
2012-08-27T04:20:12.452778Z,32.9066,-115.5932,20,-2.99
2012-08-27T18:05:57.526729Z,32.9666,-115.5332,23,-2.56
2012-08-27T01:11:56.444808Z,32.9666,-115.6132,25,-3.18
2012-08-27T07:11:12.408356Z,32.9066,-115.5532,21,-3.96
2012-08-27T00:58:43.818175Z,32.9266,-115.5732,24,-2.31
2012-08-27T02:53:14.035754Z,32.8866,-115.6132,21,-2.43
2012-08-27T07:50:58.415341Z,32.9466,-115.5532,19,-3.19
2012-08-27T17:04:30.971792Z,32.9266,-115.5732,17,-3.06
2012-08-27T05:11:56.459444Z,33.0466,-115.5132,19,-3.24
2012-08-27T05:39:42.699070Z,32.8466,-115.5132,17,-3.16
2012-08-27T05:44:56.801786Z,32.9466,-115.5332,24,-3.39
2012-08-27T00:12:26.116587Z,33.0466,-115.5132,15,-2.73
2012-08-27T00:32:42.190476Z,32.8866,-115.5332,13,-3.61
2012-08-27T01:03:15.367721Z,32.9866,-115.5332,15,-3.30
2012-08-27T02:38:30.304904Z,33.0466,-115.5332,2,-3.43
2012-08-27T04:08:16.638753Z,32.8466,-115.5332,16,-3.23
2012-08-27T17:14:11.941633Z,32.9466,-115.6332,18,-2.97
2012-08-27T00:16:55.079365Z,32.9266,-115.5732,17,-3.34
2012-08-27T01:55:30.707223Z,32.8866,-115.5732,16,-3.63
2012-08-27T03:28:29.276554Z,33.0666,-115.5532,25,-3.24
2012-08-27T04:46:14.117937Z,32.9666,-115.5532,24,-2.49
2012-08-27T06:02:58.815079Z,32.8866,-115.5932,23,-3.35
2012-08-27T09:02:31.269524Z,32.8466,-115.4332,1,-3.96
2012-08-27T10:28:44.416032Z,32.8666,-115.5532,16,-3.22
2012-08-27T10:36:59.551508Z,32.9666,-115.5732,18,-3.85
2012-08-27T03:39:31.315675Z,32.8866,-115.5932,22,-3.30
2012-08-27T04:24:41.268413Z,32.9466,-115.5332,20,-3.84
2012-08-27T05:17:29.679944Z,33.0466,-115.5332,12,-3.43
2012-08-27T08:19:44.092857Z,32.9266,-115.5332,24,-3.66
2012-08-27T14:00:46.055341Z,32.7866,-115.4932,18,-3.01
2012-08-27T21:30:41.534484Z,33.0266,-115.5932,25,-3.16
2012-08-27T22:00:43.781316Z,32.9066,-115.5732,21,-3.64
2012-08-27T02:28:10.131746Z,33.0466,-115.5932,1,-3.18
2012-08-27T04:09:14.879729Z,32.9866,-115.5732,21,-3.24
2012-08-27T04:14:45.980079Z,32.8866,-115.5932,9,-3.53
2012-08-27T06:31:27.559887Z,32.9666,-115.5532,24,-2.24
2012-08-27T06:37:25.340635Z,32.9866,-115.5532,21,-3.92
2012-08-27T10:35:16.951032Z,32.9666,-115.5732,20,-3.24
2012-08-27T17:44:25.835714Z,33.0266,-115.5132,25,-3.01
2012-08-27T00:35:59.848713Z,33.0266,-115.5732,20,-3.43
2012-08-27T03:41:44.697404Z,32.7266,-115.6132,1,-3.70
2012-08-27T05:28:00.712778Z,32.9666,-115.5532,15,-3.30
2012-08-27T06:00:47.544705Z,32.8266,-115.5332,16,-3.45
2012-08-27T07:13:26.101508Z,32.9066,-115.5132,22,-4.06
2012-08-27T08:15:16.241571Z,32.9066,-115.6132,20,-3.89
2012-08-27T08:53:25.308515Z,32.9666,-115.5532,18,-3.74
2012-08-27T00:41:26.076554Z,32.9066,-115.5732,25,-4.07
2012-08-27T01:27:41.820595Z,32.9066,-115.5532,23,-3.74
2012-08-27T02:11:40.561475Z,33.1266,-115.6332,25,-3.53
2012-08-27T02:42:59.563634Z,32.8866,-115.5332,22,-3.90
2012-08-27T03:00:11.417602Z,33.0066,-115.5332,10,-3.69
2012-08-27T03:32:33.125635Z,32.8066,-115.5532,21,-3.56
2012-08-27T04:49:10.915873Z,32.9666,-115.6532,18,-3.39
2012-08-27T08:46:32.342857Z,32.8666,-115.5532,20,-3.04
2012-08-27T09:13:42.846032Z,32.9666,-115.5532,25,-3.78
2012-08-27T10:00:01.648413Z,32.9666,-115.6332,25,-3.30
2012-08-27T14:18:13.337222Z,32.9466,-115.5332,22,-3.53
2012-08-27T14:42:12.275760Z,32.8666,-115.5132,16,-3.48
2012-08-27T00:32:13.325913Z,32.7266,-115.5532,1,-4.03
2012-08-27T00:55:26.332007Z,32.9066,-115.5732,22,-3.78
2012-08-27T01:16:11.356491Z,32.8866,-115.5332,16,-3.73
2012-08-27T01:41:17.696111Z,32.7866,-115.4732,7,-3.68
2012-08-27T02:36:44.442936Z,32.9866,-115.5532,8,-3.98
